name1,name2,soundex_ratio,metaphone_ratio,levenshtein_ratio,jaro_winkler_ratio,cosine_similarity,euclidean_similarity,manhattan_similarity,pearson_similarity,label
Abhishek,Abhijeet,0.75,0.6,0.625,0.85,0.672698081,0.552768371,0.073362535,0.836296433,n
Abhishek,Abhijit,0.75,0.6,0.5,0.69047619,0.613999128,0.532300976,0.067725852,0.806936261,n
Abhishek,Abhishekh,1,0.91,0.888888889,0.977777778,0.799841166,0.612479832,0.091527299,0.899942101,y
Abhishek,Abishek,1,0.89,0.875,0.928571429,0.667290568,0.550742051,0.07261833,0.83359214,y
Aman,Amaan,1,1,0.8,0.953333333,0.823109508,0.627039867,0.096945096,0.911548199,y
Aman,Amman,1,1,0.8,0.946666667,0.254676849,0.450263813,0.050464956,0.627203462,y
Aman,Amant,0.75,0.86,0.8,0.96,0.775757909,0.598913673,0.087073702,0.887829032,n
Aman,Ameen,1,1,0.6,0.826666667,0.495265573,0.498821984,0.060732872,0.747478363,y
Harsh,Harshith,0.75,0.86,0.625,0.925,0.619483709,0.534081962,0.069286582,0.809643105,n
Harsh,Harsha,1,1,0.833333333,0.966666667,0.592474103,0.525540708,0.065806679,0.796099785,n
Harsh,Haarsh,1,1,0.833333333,0.955555556,0.187236354,0.439567838,0.047689113,0.593519446,n
Harsh,Harssh,1,1,0.833333333,0.966666667,0.238969758,0.447684054,0.050667002,0.619417347,y
Ayush,Aayush,1,0.8,0.833333333,0.95,0.766599834,0.594096575,0.087495135,0.883314104,y
Ayush,Ayushh,1,0.86,0.833333333,0.966666667,0.96236527,0.784711985,0.18851262,0.981193169,y
Ayush,Ayushh,1,0.86,0.833333333,0.966666667,0.96236527,0.784711985,0.18851262,0.981193169,y
Ayush,Ayuush,1,1,0.833333333,0.961111111,0.816558719,0.622778076,0.094848434,0.908294366,y
Aditi,Aaditi,1,0.8,0.833333333,0.95,0.585526526,0.523432678,0.066599608,0.792627126,y
Aditi,Aadhiti,1,0.67,0.714285714,0.914285714,0.586908221,0.523849178,0.065361949,0.793443616,y
Aditi,Adeeti,1,1,0.666666667,0.857777778,0.519908726,0.505078781,0.061831009,0.759884176,y
Aditi,Adhiti,1,0.86,0.833333333,0.955555556,0.349313319,0.467119987,0.053011808,0.674494989,y
Anjali,Anjalee,1,1,0.714285714,0.90952381,0.636953831,0.53992457,0.071508175,0.818450108,y
Anjali,Anjalie,1,1,0.857142857,0.971428571,0.943684101,0.748723528,0.15765546,0.971843778,y
Anjali,Anjale,1,1,0.833333333,0.933333333,0.612357378,0.531772667,0.068380697,0.806149594,y
Anjali,Angali,1,0.75,0.833333333,0.911111111,0.377776027,0.472690707,0.054582619,0.68882283,n
Shubham,Subham,1,0.75,0.857142857,0.907142857,0.330260664,0.463529815,0.05300767,0.665036345,y
Shubham,Shubhaam,1,1,0.875,0.975,0.504002929,0.501004744,0.06036806,0.751990009,y
Shubham,Shubham,1,1,1,1,1.000000238,1,1,1,y
Shubham,Shubha,0.75,0.86,0.857142857,0.971428571,0.498441875,0.499611055,0.060434874,0.749157765,n
Anushka,Anushkaa,1,1,0.875,0.975,0.94859457,0.757207671,0.170145057,0.974297948,y
Anushka,Anushkah,1,1,0.875,0.975,0.929307342,0.72673755,0.144378937,0.96467082,y
Anushka,Anushka,1,1,1,1,1,1,1,1,y
Anushka,Anushikaa,0.75,1,0.777777778,0.955555556,0.838181913,0.637393205,0.100575266,0.919090348,y
Rohit,Rohith,1,0.67,0.833333333,0.966666667,0.907431602,0.699166044,0.128701037,0.953702343,y
Rohit,Rohit,1,1,1,1,1,1,1,1,y
Rohit,Roheet,1,1,0.666666667,0.875555556,0.600188255,0.527922665,0.06851695,0.799786757,y
Rohit,Rohyt,1,0.8,0.8,0.906666667,0.61572051,0.532857294,0.068354878,0.807507147,y
Saurabh,Souraabh,1,1,0.75,0.919642857,0.72279644,0.573202132,0.07862086,0.861417062,y
Saurabh,Saurav,1,0.57,0.714285714,0.90952381,0.691773474,0.560178496,0.076067133,0.84593977,y
Saurabh,Sourab,1,0.86,0.714285714,0.864285714,0.468846351,0.492445143,0.06035164,0.7345404,y
Saurabh,Surabh,1,1,0.857142857,0.907142857,0.5065732,0.501654179,0.0601131,0.753336491,y
Muskan,Muskaan,1,1,0.857142857,0.971428571,0.939534426,0.741976463,0.151093341,0.969762758,y
Muskan,Muskah,0.75,0.86,0.833333333,0.933333333,0.877112389,0.668557601,0.1128819,0.938551056,y
Muskan,Musken,1,1,0.833333333,0.933333333,0.748921156,0.585263903,0.082036164,0.874413952,y
Muskan,Moskan,1,1,0.833333333,0.9,0.831494808,0.632700738,0.097133865,0.915707748,y
Rahul,Rahuul,1,1,0.833333333,0.966666667,0.715798318,0.570149682,0.078629114,0.857851574,y
Rahul,Raheel,1,1,0.666666667,0.875555556,0.563361049,0.516931197,0.0642987,0.78159652,n
Rahul,Rahel,1,1,0.8,0.906666667,0.50942874,0.502379663,0.060466828,0.754615735,n
Rahul,Rahool,1,1,0.666666667,0.875555556,0.547364116,0.512437436,0.063712082,0.773591439,y
Utkarsh,Utkarsha,1,1,0.875,0.975,0.841655016,0.639896623,0.100285254,0.92081347,y
Utkarsh,Utkaarsh,1,1,0.875,0.975,0.808927894,0.61797896,0.095927481,0.904448208,y
Utkarsh,Uttkarsh,1,1,0.875,0.966666667,0.918281257,0.712111625,0.135432608,0.959134078,y
Utkarsh,Utkarrsh,1,1,0.875,0.975,0.84725976,0.644038137,0.104059578,0.923616362,y
Vaibhav,Vaishnav,0.5,0.5,0.75,0.908333333,0.843384087,0.641160817,0.103746167,0.921714073,n
