Abhishek > Abhijeet, Abhijit, Abhishekh, Abishek

Aman > Amaan, Amman, Amant, Ameen

Harsh > Harshith, Harsha, Haarsh, Harssh

Ayush > Aayush, Ayushh, Ayushh, Ayuush

Aditi > Aaditi, Aadhiti, Adeeti, Adhiti

Anjali > Anjalee, Anjalie, Anjale, Angali

Shubham > Subham, Shubhaam, Shubham, Shubha

Anushka > Anushkaa, Anushkah, Anushka, Anushikaa

Rohit > Rohith, Rohit, Roheet, Rohyt

Saurabh > Souraabh, Saurav, Sourab, Surabh

Muskan > Muskaan, Muskah, Musken, Moskan

Rahul > Rahuul, Raheel, Rahel, Rahool

Utkarsh > Utkarsha, Utkaarsh, Uttkarsh, Utkarrsh

Vaibhav > Vaishnav, Vibhav, Vaibhaav, Vaibhaw

Amit > Amitt, Ameet, Aamith, Amith

Saumya > Soumya, Soumyaa, Soumyaa, Soumaya

Rishabh > Rishab, Rishab, Rishabh, Rishaba

Shruti > Shruthi, Shruti, Sruti, Shrruti

Himanshu > Himanshoo, Hemanth, Himansh, Himanshoo

Kajal > Kajaal, Kajaal, Kjal, Kajali

Ankit > Ankith, Ankit, Ankeet, Aniket

Gaurav > Gauravi, Gaurav, Gaurav, Gauruv

Nikhil > Nikhila, Nikhil, Nikil, Nikhil

Siddharth > Siddhartha, Siddharth, Siddharth, Sidharth

Prashant > Prashantha, Prashanthi, Prashant, Prashantt

Priya > Priyaa, Priyanka, Preeya, Priia

Harshit > Harshith, Harshita, Harshi, Harshith

Shashank > Shashanta, Shashanna, Shashank, Shashana

Akash > Akasha, Aakash, Akash, Akash

Varun > Varuna, Vaarun, Varun, Varrun

Yash > Yasha, Yashvi, Yaash, Yash

Shreya > Shreyas, Shreeya, Shreea, Shreyaa

Harshita > Harshit, Harshitha, Haarshita, Harshitaa

Anurag > Anuraag, Anuraja, Anuraag, Anuraj

Vivek > Viveka, Vivekan, Vivek, Vivvek

Swati > Sweta, Swathi, Swati, Swathi

Vishal > Vishaala, Vishaal, Vishal, Veeshal

Aditya > Aaditya, Aadhitya, Aditya, Adhitya

Nidhi > Nidi, Niddhi, Needi, Nidhee

Ayushi > Ayush, Aayushi, Ayuushi, Ayushii

Krishna > Krishn, Krishan, Krisna, Krisnaa

Anshika > Anshikaa, Anshikaa, Anshika, Anshhika

Sakshi > Saksham, Sakshee, Saakshi, Sakshi

Shivani > Shivam, Shivanya, Shiveni, Shivaani

Prakhar > Prakhara, Prakhara, Prakaar, Prakhhar

Mansi > Mansee, Mancey, Mansi, Maansee

Tushar > Tushara, Tushaar, Tushar, Tusharr

Abhinav > Abhinava, Abhina, Abhinav, Abheenaav

Shivangi > Shivang, Shivanya, Shivangi, Shivaan

Ashutosh > Aashutosh, Ashuthosh, Ashutosh, Aashitosh

Adarsh > Adarsha, Aadarsh, Adarsh, Adaarsh

Divya > Divyam, Divyani, Divyaa, Diviyaa

Piyush > Piyasha, Piyusha, Piyussh, Piyuush

Pragya > Pragyan, Pragyani, Pragyaa, Pragyaana

Ajay > Ajai, Ajoy, Ajay, Aayjay

Akanksha > Akansha, Akansh, Akanksha, Akanksh

Neeraj > Neeraaj, Niraj, Nereej, Neeranj

Ritika > Rithika, Ritika, Retika, Ritikaa

Tanya > Taniya, Tania, Tanya, Tanyaa

Nisha > Nishi, Neesha, Neshia, Nishaa

Arun > Aruna, Aarun, Arun, Aarun

Pallavi > Pallaavi, Pallav, Pallaavi, Pallavi

Aniket > Aniketh, Aniketa, Aneekit, Anikeet

Nikita > Nikitha, Niki, Nikita, Nikeeta

Vijay > Vijaya, Vijayan, Vijai, Vijayaa

Ananya > Ananya, Aananya, Aaananya, Ananyaa

Priyanshi > Priyansh, Priyan, Priyansi, Priyanshi

Suraj > Sooraj, Suraaj, Surraj, Souraj

Akshat > Aksha, Aksha, Akshath, Akshaat

Ishika > Ishikaa, Ishikaa, Ishika, Ieshikaa

Mohit > Mohith, Mohita, Moheet, Mohitt

Palak > Paalak, Palaak, Pallaak, Palack

Ankur > Ankura, Ankur, Ankur, Ankur

Richa > Richa, Richa, Richa, Richaa

Ravi > Ravee, Rav, Ravi, Ravii

Arpit > Arpita, Arpi, Arpit, Arpeet

Ankita > Ankeet, Anikitha, Ankeeta, Ankitaa

Shraddha > Shraddhaa, Shradda, Shraddh, Shraddhha

Deepak > Deepaka, Deepeek, Deepak, Deepaak

Priyanka > Preeyanka, Priyani, Priyanka, Preeaanka

Khushi > Khushii, Khusi, Khushhi, Kushii

Shweta > Shwetha, Shwetaa, Shwetah, Shweeta

Kavya > Kavyaa, Kavayaa, Kaavyaa, Kaaviya

Kunal > Kunnal, Kunnil, Kunal, Kunall

Dheeraj > Dhheeraj, Dheeraaj, Dheeraj, Dheerajj

Akshita > Akshitaa, Akshiti, Akshitha, Akshitaa

Riya > Riyya, Riiya, Riyaa, Riya

Sneha > Snehaa, Snehha, Sneha, Snehaa

Pranjal > Praanjal, Pranjall, Pranjal, Pranjala

Isha > Ishaa, Iisha, Ishaa, Iesha

Sumit > Sumith, Sumitha, Sumit, Sumitt

Kishan > Kishaan, Kishan, Kishaan, Kishn

Pawan > Pawaan, Pavaan, Pawaan, Pawaana

Soumya > Soumyaa, Soumyaa, Soumya, Soummyaa

Neelesh > Neelaesh, Neelesh, Neelesh, Neelissh

Sarthak > Sarathaak, Sarthaak, Sarthaak, Sarrthak

Alok > Allok, Aallok, Alok, Aalok
Raghav > Raaghav, Raghaav, Raghav, Raghaav

Rishi > Rishii, Rishii, Rishi, Rishii

Pragati > Praagati, Pragathii, Pragati, Pragathi

Shivam > Shivamm, Shivum, Shivam, Shivamm

Lakshya > Lakshyaa, Laksya, Lakshya, Lakshya

Ashish > Aashish, Ashish, Ashiish, Ashhish

Sandeep > Sandeepa, Sanndip, Sandeep, Sandeeep

Ishita > Isheeta, Ishita, Isheeta, Ishitta

Shaurya > Shauryaa, Shauryaar, Shaurya, Shauryaa

Kashish > Kaashish, Kaashish, Kashish, Kashhish

Vineet > Vineeet, Vineeth, Vineet, Vineeet

Mayank > Maayank, Maaank, Mayank, Maayank

Jyoti > Joythi, Jyothi, Jyoti, Jyoothi

Parul > Paarul, Parool, Parul, Paaarul

Shambhavi > Shaambhavi, Shaambhavi, Shambhavi, Shambhaavi

Anshu > Aanshu, Anshuu, Anshu, Anshhhu

Keshav > Keshhaav, Keshaav, Keshav, Keshhaav

Prince > Prrince, Pprince, Prince, Prinnce

Prakash > Praakash, Prakaash, Prakash, Prakaash

Pratibha > Praatibha, Pratibhaa, Pratibha, Praatibha

Praveen > Praaveen, Praveenn, Praveen, Praaveen

Priyanshu > Preeyanshu, Priyanshuu, Priyanshu, Preeyanshu

Kshitij > Kshitija, Kshitii, Kshitij, Kshitij

Arushi > Aarushi, Aarushii, Arushi, Aaarushi

Ishan > Ishaan, Ishaana, Ishan, Iishan

Garima > Gareema, Gareema, Garima, Gareeema

Manish > Maanish, Maaneesh, Manish, Maaanish

Vaishnavi > Vashnavi, Vayishnavi, Vaishnavi, Vaishhnaavi

Shreyansh > Shreyyaansh, Shreyanj, Shreyansh, Shreeyansh

Atul > Aatull, Aatul, Atul, Aaatul

Sarvesh > Sarveesh, Sarvesha, Sarvesh, Sarveesh

Vidya > Vidyaa, Vidya, Vidya, Vidyaa

Shubhangi > Shuubhangi, Shubhangi, Shubhangi, Shubhangii

Mohsin > Mohssin, Mohshinn, Mohsin, Mohhsin

Saran > Saraan, Saranth, Saran, Saraan

Vikash > Vikaash, Vikasha, Vikash, Vikaash

Aayush > Aayuussh, Aayoush, Aayush, Aayuussh

Akhilesh > Akilesh, Akilesh, Akhilesh, Akilesh

Nitin > Nithin, Nithiin, Nitin, Nithiin

Himani > Himanai, Himani, Himani, Himaanii

Sushil > Susheel, Sushill, Sushil, Susheel

Vartika > Vaartika, Vaartikha, Vartika, Vaartika

Aviral > Avirall, Avirall, Aviral, Avirral

Abdul > Abddul, Abdull, Abdul, Abdool

Sumeet > Summeet, Sumetha, Sumeet, Summeet

Prerna > Prena, Prernaa, Prerna, Prernaa

Nupur > Nuupur, Nupur, Nupur, Nuupur

Neha > Neeha, Nehaa, Neha, Neehaa

Vikas > Vikass, Vikaas, Vikas, Vikass

Vanshika > Vaanshika, Vanshikaa, Vanshika, Vaanshikaa
Rohan > Rohaan, Rohann, Rohen, Rhoan

Shivansh > Shivaan, Shivanshh, Shivaan, Shivash

Sunil > Soonil, Suneel, Sunill, Sunil

Juhi > Juhii, Juhee, Juhi, Juhhi

Nitesh > Niteshh, Nitish, Niteesh, Nitessh

Ganesh > Gaanesh, Gannesh, Ganish, Gannesh

Naveen > Naveenn, Navin, Naven, Naaveen

Shikhar > Shikha, Shikhhar, Shikhar, Shikhhar

Jitendra > Jitendar, Jitender, Jithendra, Jitendrah

Chirag > Chiragg, Chiragh, Chirak, Chiragh

Abhay > Abhayy, Abhe, Abbhay, Abhe

Lucky > Luckie, Lukky, Lucki, Lukey

Smriti > Smrithi, Smritee, Smritti, Smritty

Manu > Maanu, Manuu, Mannu, Maenu

Deependra > Deependrah, Deepeendra, Dipendra, Deependra

